     0.5171618-314     0.5095798-314
     0.5221791-314     0.5122327-314
     0.5122327-314     0.5186199-314
     0.5186199-314     0.5237022-314
     0.5237022-314     0.5259638-314
     0.5259638-314     0.5132243-314
     0.5132243-314     0.5104265-314
     0.5104265-314     0.5045205-314
     0.5045205-314     0.5039542-314
     0.5039542-314     0.5228835-314
     0.5228835-314     0.5229051-314
     0.5229051-314     0.5227440-314
     0.5227440-314     0.5191939-314
     0.5191939-314     0.5110455-314
     0.5110455-314     0.5241047-314
     0.5241047-314     0.5149967-314
     0.5149967-314     0.5240243-314
     0.5240243-314     0.5061292-314
     0.5061292-314     0.5213915-314
     0.5213915-314     0.5230500-314
     0.5230500-314     0.5223308-314
     0.5223308-314     0.5118521-314
     0.5118521-314     0.5250394-314
     0.5250394-314     0.5220601-314
     0.5220601-314     0.5228425-314
     0.5228425-314     0.5238850-314
     0.5238850-314     0.5211391-314
     0.5211391-314     0.5185092-314
     0.5185092-314     0.5224566-314
     0.5224566-314     0.5247089-314
     0.5247089-314     0.5219827-314
     0.5219827-314     0.5252510-314
     0.5252510-314     0.5229135-314
     0.5229135-314     0.5208675-314
     0.5208675-314     0.5244339-314
     0.5244339-314     0.5253953-314
     0.5253953-314     0.5213281-314
     0.5213281-314     0.5232147-314
     0.5232147-314     0.5164640-314
     0.5164640-314     0.5211960-314
     0.5211960-314     0.5218704-314
     0.5218704-314     0.5101839-314
     0.5101839-314     0.5196908-314
     0.5196908-314     0.5034683-314
     0.5034683-314     0.5073844-314
     0.5073844-314     0.5149337-314
     0.5149337-314     0.5228104-314
     0.5228104-314     0.5254567-314
     0.5254567-314     0.5237498-314
     0.5237498-314     0.5216922-314
     0.5216922-314     0.5208793-314
     0.5208793-314     0.5059298-314
     0.5059298-314     0.5229066-314
     0.5229066-314     0.5081685-314
     0.5081685-314     0.5222217-314
     0.5222217-314     0.5230038-314
     0.5230038-314     0.5213917-314
     0.5213917-314     0.5238543-314
     0.5238543-314     0.5258580-314
     0.5258580-314     0.5200553-314
     0.5200553-314     0.5245650-314
     0.5245650-314     0.5187276-314
     0.5187276-314     0.5153663-314
     0.5153663-314     0.5238568-314
     0.5238568-314     0.5151144-314
     0.5151144-314     0.5252050-314
     0.5252050-314     0.5232892-314
     0.5232892-314     0.5256248-314
     0.5256248-314     0.5262096-314
     0.5262096-314     0.5257678-314
     0.5257678-314     0.5236807-314
     0.5236807-314     0.5149027-314
     0.5149027-314     0.5251057-314
     0.5251057-314     0.5186864-314
     0.5186864-314     0.5239977-314
     0.5239977-314     0.5167847-314
     0.5167847-314     0.5219789-314
     0.5219789-314     0.5182951-314
     0.5182951-314     0.5203687-314
     0.5203687-314     0.5237942-314
     0.5237942-314     0.5254204-314
     0.5254204-314     0.5154559-314
     0.5154559-314     0.5197972-314
     0.5197972-314     0.5236907-314
     0.5236907-314     0.5127666-314
     0.5127666-314     0.5211748-314
     0.5211748-314     0.5258825-314
     0.5258825-314     0.5239795-314
     0.5239795-314     0.5252468-314
     0.5252468-314     0.5234386-314
     0.5234386-314     0.5242993-314
     0.5242993-314     0.5239137-314
     0.5239137-314     0.5254476-314
     0.5254476-314     0.5219954-314
     0.5219954-314     0.5260873-314
     0.5260873-314     0.5146299-314
     0.5146299-314     0.5235883-314
     0.5235883-314     0.5190300-314
     0.5190300-314     0.5260582-314
     0.5260582-314     0.5240818-314
     0.5240818-314     0.5029989-314
     0.5029989-314     0.5248998-314
     0.5248998-314     0.5218032-314
     0.5218032-314     0.5168487-314
     0.5168487-314     0.5239587-314
     0.5239587-314     0.5146427-314
     0.5146427-314     0.5203422-314
     0.5203422-314     0.5168435-314
     0.5168435-314     0.5257610-314
     0.5257610-314     0.5149958-314
     0.5149958-314     0.5259152-314
     0.5259152-314     0.5148588-314
     0.5148588-314     0.5207476-314
     0.5207476-314     0.5259730-314
     0.5259730-314     0.5258226-314
     0.5258226-314     0.5231776-314
     0.5231776-314     0.5227897-314
     0.5227897-314     0.5250784-314
     0.5250784-314     0.5124742-314
     0.5124742-314     0.5253203-314
     0.5253203-314     0.5246840-314
     0.5246840-314     0.5144303-314
     0.5144303-314     0.5255901-314
     0.5255901-314     0.5175477-314
     0.5175477-314     0.5255930-314
     0.5255930-314     0.5238543-314
     0.5238543-314     0.5199501-314
     0.5199501-314     0.5226220-314
     0.5226220-314     0.5195155-314
     0.5195155-314     0.4822162-314
     0.4822162-314     0.5225202-314
     0.5225202-314     0.5034434-314
     0.5034434-314     0.5228016-314
     0.5228016-314     0.5164897-314
     0.5164897-314     0.5263015-314
     0.5263015-314     0.5143598-314
     0.5143598-314     0.5258387-314
     0.5258387-314     0.5208009-314
     0.5208009-314     0.5175835-314
     0.5175835-314     0.5196676-314
     0.5196676-314     0.5238999-314
     0.5238999-314     0.5162905-314
     0.5162905-314     0.5258360-314
     0.5258360-314     0.5251945-314
     0.5251945-314     0.5145614-314
     0.5145614-314     0.5262518-314
     0.5262518-314     0.5223489-314
     0.5223489-314     0.5235537-314
     0.5235537-314     0.4907150-314
     0.4907150-314     0.5261549-314
     0.5261549-314     0.5195663-314
     0.5195663-314     0.5230100-314
     0.5230100-314     0.5223658-314
     0.5223658-314     0.5232287-314
     0.5232287-314     0.5231685-314
     0.5231685-314     0.5144831-314
     0.5144831-314     0.5258787-314
     0.5258787-314     0.5250183-314
     0.5250183-314     0.5243491-314
     0.5243491-314     0.5174941-314
     0.5174941-314     0.5166763-314
     0.5166763-314     0.5225350-314
     0.5225350-314     0.5246018-314
     0.5246018-314     0.5175685-314
     0.5175685-314     0.5160021-314
     0.5160021-314     0.5101328-314
     0.5101328-314     0.5083288-314
     0.5083288-314     0.5258331-314
     0.5258331-314     0.5238682-314
     0.5238682-314     0.5240333-314
     0.5240333-314     0.5189666-314
     0.5189666-314     0.5152302-314
     0.5152302-314     0.5161342-314
     0.5161342-314     0.5197332-314
     0.5197332-314     0.5261300-314
     0.5261300-314     0.5201835-314
     0.5201835-314     0.5244223-314
     0.5244223-314     0.5247159-314
     0.5247159-314     0.5137238-314
     0.5137238-314     0.5199468-314
     0.5199468-314     0.5262255-314
     0.5262255-314     0.5233424-314
     0.5233424-314     0.5211450-314
     0.5211450-314     0.5253368-314
     0.5253368-314     0.5230064-314
     0.5230064-314     0.5206077-314
     0.5206077-314     0.5181630-314
     0.5181630-314     0.5250950-314
     0.5250950-314     0.5146399-314
     0.5146399-314     0.5210933-314
     0.5210933-314     0.5217877-314
     0.5217877-314     0.5222432-314
     0.5222432-314     0.5128352-314
     0.5128352-314     0.5253906-314
     0.5253906-314     0.5249318-314
     0.5249318-314     0.5224400-314
     0.5224400-314     0.5261256-314
     0.5261256-314     0.5224987-314
     0.5224987-314     0.5254505-314
     0.5254505-314     0.5123932-314
     0.5123932-314     0.5216295-314
     0.5216295-314     0.5226150-314
     0.5226150-314     0.5247814-314
     0.5247814-314     0.5214417-314
     0.5214417-314     0.5248473-314
     0.5248473-314     0.5163681-314
     0.5163681-314     0.5229393-314
     0.5229393-314     0.5181819-314
     0.5181819-314     0.5243522-314
     0.5243522-314     0.5186897-314
     0.5186897-314     0.5213524-314
     0.5213524-314     0.4932264-314
     0.4932264-314     0.5233740-314
     0.5233740-314     0.5242572-314
     0.5242572-314     0.5229674-314
     0.5229674-314     0.5164609-314
     0.5164609-314     0.5254917-314
     0.5254917-314     0.5234414-314
     0.5234414-314     0.5202310-314
     0.5202310-314     0.4963614-314
     0.4963614-314     0.5240332-314
     0.5240332-314     0.5231512-314
     0.5231512-314     0.5243531-314
     0.5243531-314     0.5235056-314
     0.5235056-314     0.5235889-314
     0.5235889-314     0.5197789-314
     0.5197789-314     0.5212060-314
     0.5212060-314     0.5247091-314
     0.5247091-314     0.5228239-314
     0.5228239-314     0.5249195-314
     0.5249195-314     0.5155842-314
     0.5155842-314     0.5231156-314
     0.5231156-314     0.5263263-314
     0.5263263-314     0.5180068-314
     0.5180068-314     0.5144550-314
     0.5144550-314     0.5175852-314
     0.5175852-314     0.5089394-314
     0.5089394-314     0.5257695-314
     0.5257695-314     0.5177028-314
     0.5177028-314     0.5058507-314
     0.5058507-314     0.5204640-314
     0.5204640-314     0.5238056-314
     0.5238056-314     0.5252275-314
     0.5252275-314     0.5230463-314
     0.5230463-314     0.5233950-314
     0.5233950-314     0.5194777-314
     0.5194777-314     0.5210789-314
     0.5210789-314     0.5225272-314
     0.5225272-314     0.5228795-314
     0.5228795-314     0.5203003-314
     0.5203003-314     0.5239828-314
     0.5239828-314     0.5222677-314
     0.5222677-314     0.5255994-314
     0.5255994-314     0.5138932-314
     0.5138932-314     0.5245101-314
     0.5245101-314     0.5260798-314
     0.5260798-314     0.5189857-314
     0.5189857-314     0.5232604-314
     0.5232604-314     0.5106883-314
     0.5106883-314     0.5237923-314
     0.5237923-314     0.5160257-314
     0.5160257-314     0.5185113-314
     0.5185113-314     0.5262679-314
     0.5262679-314     0.5256897-314
     0.5256897-314     0.5198194-314
     0.5198194-314     0.5037095-314
     0.5037095-314     0.5251687-314
     0.5251687-314     0.5244132-314
     0.5244132-314     0.5209776-314
     0.5209776-314     0.5195610-314
     0.5195610-314     0.5189679-314
     0.5189679-314     0.5172294-314
     0.5172294-314     0.5242677-314
     0.5242677-314     0.5232473-314
     0.5232473-314     0.5207135-314
     0.5207135-314     0.5255771-314
     0.5255771-314     0.5167771-314
     0.5167771-314     0.5225317-314
     0.5225317-314     0.4917400-314
     0.4917400-314     0.5195616-314
     0.5195616-314     0.5129280-314
     0.5129280-314     0.5221717-314
     0.5221717-314     0.5148002-314
     0.5148002-314     0.5217331-314
     0.5217331-314     0.4963399-314
     0.4963399-314     0.5191950-314
     0.5191950-314     0.5232095-314
     0.5232095-314     0.5238451-314
     0.5238451-314     0.5179706-314
     0.5179706-314     0.5242143-314
     0.5242143-314     0.5252366-314
     0.5252366-314     0.5227484-314
     0.5227484-314     0.5226921-314
     0.5226921-314     0.5193441-314
     0.5193441-314     0.5250392-314
     0.5250392-314     0.5261787-314
     0.5261787-314     0.5255287-314
     0.5255287-314     0.5258694-314
     0.5258694-314     0.5237812-314
     0.5237812-314     0.5224970-314
     0.5224970-314     0.5221003-314
     0.5221003-314     0.5250137-314
     0.5250137-314     0.5112208-314
     0.5112208-314     0.5194989-314
     0.5194989-314     0.5237738-314
     0.5237738-314     0.5085474-314
     0.5085474-314     0.5246770-314
     0.5246770-314     0.5206535-314
     0.5206535-314     0.5129895-314
     0.5129895-314     0.5230788-314
     0.5230788-314     0.5244798-314
     0.5244798-314     0.5225821-314
     0.5225821-314     0.5177296-314
     0.5177296-314     0.5241347-314
     0.5241347-314     0.5243757-314
     0.5243757-314     0.5181813-314
     0.5181813-314     0.5197899-314
     0.5197899-314     0.5149494-314
     0.5149494-314     0.5188769-314
     0.5188769-314     0.5118335-314
     0.5118335-314     0.5222861-314
     0.5222861-314     0.5119920-314
     0.5119920-314     0.5230747-314
     0.5230747-314     0.5224344-314
     0.5224344-314     0.5261271-314
     0.5261271-314     0.5224522-314
     0.5224522-314     0.5235325-314
     0.5235325-314     0.5169315-314
     0.5169315-314     0.5186459-314
     0.5186459-314     0.5257358-314
     0.5257358-314     0.5225633-314
     0.5225633-314     0.5183387-314
     0.5183387-314     0.5253017-314
     0.5253017-314     0.5212156-314
     0.5212156-314     0.5247020-314
     0.5247020-314     0.5251617-314
     0.5251617-314     0.5253789-314
     0.5253789-314     0.5189571-314
     0.5189571-314     0.5207491-314
     0.5207491-314     0.5192449-314
     0.5192449-314     0.5234969-314
     0.5234969-314     0.5254387-314
     0.5254387-314     0.5233179-314
     0.5233179-314     0.5228232-314
     0.5228232-314     0.5035553-314
     0.5035553-314     0.5238074-314
     0.5238074-314     0.5245541-314
     0.5245541-314     0.5214790-314
     0.5214790-314     0.5195156-314
     0.5195156-314     0.5167191-314
     0.5167191-314     0.5242453-314
     0.5242453-314     0.5203191-314
     0.5203191-314     0.5255792-314
     0.5255792-314     0.5213108-314
     0.5213108-314     0.5243975-314
     0.5243975-314     0.5208012-314
     0.5208012-314     0.5183636-314
     0.5183636-314     0.5225763-314
     0.5225763-314     0.5246568-314
     0.5246568-314     0.5225809-314
     0.5225809-314     0.5215672-314
     0.5215672-314     0.5243627-314
     0.5243627-314     0.5220727-314
     0.5220727-314     0.5256932-314
     0.5256932-314     0.5172376-314
     0.5172376-314     0.5244594-314
     0.5244594-314     0.5230177-314
     0.5230177-314     0.5181690-314
     0.5181690-314     0.5246338-314
     0.5246338-314     0.5098238-314
     0.5098238-314     0.5190356-314
     0.5190356-314     0.5230909-314
     0.5230909-314     0.5238995-314
     0.5238995-314     0.5251825-314
     0.5251825-314     0.5254805-314
     0.5254805-314     0.5194519-314
     0.5194519-314     0.5247849-314
     0.5247849-314     0.5250530-314
     0.5250530-314     0.5232674-314
     0.5232674-314     0.5254761-314
     0.5254761-314     0.5204059-314
     0.5204059-314     0.5235262-314
     0.5235262-314     0.5248231-314
     0.5248231-314     0.5246077-314
     0.5246077-314     0.5082116-314
     0.5082116-314     0.5255874-314
     0.5255874-314     0.5219752-314
     0.5219752-314     0.5247044-314
     0.5247044-314     0.5249253-314
     0.5249253-314     0.5144990-314
     0.5144990-314     0.5029319-314
     0.5029319-314     0.5199547-314
     0.5199547-314     0.5236807-314
     0.5236807-314     0.5114632-314
     0.5114632-314     0.5245662-314
     0.5245662-314     0.5237773-314
     0.5237773-314     0.5181793-314
     0.5181793-314     0.5101121-314
     0.5101121-314     0.5225455-314
     0.5225455-314     0.5263029-314
     0.5263029-314     0.5236949-314
     0.5236949-314     0.5201756-314
     0.5201756-314     0.5169203-314
     0.5169203-314     0.5259471-314
     0.5259471-314     0.5235631-314
     0.5235631-314     0.5114128-314
     0.5114128-314     0.5187341-314
     0.5187341-314     0.5168830-314
     0.5168830-314     0.5180127-314
     0.5180127-314     0.5222607-314
     0.5222607-314     0.5253512-314
     0.5253512-314     0.5233024-314
     0.5233024-314     0.5263211-314
     0.5263211-314     0.5187975-314
     0.5187975-314     0.5186422-314
     0.5186422-314     0.5222314-314
     0.5222314-314     0.5197303-314
     0.5197303-314     0.5259935-314
     0.5259935-314     0.5229060-314
     0.5229060-314     0.5262826-314
     0.5262826-314     0.5228850-314
     0.5228850-314     0.5165299-314
     0.5165299-314     0.5224742-314
     0.5224742-314     0.5226752-314
     0.5226752-314     0.5218606-314
     0.5218606-314     0.5207653-314
     0.5207653-314     0.5250247-314
     0.5250247-314     0.4826077-314
     0.4826077-314     0.5240567-314
     0.5240567-314     0.5155180-314
     0.5155180-314     0.5231833-314
     0.5231833-314     0.5222928-314
     0.5222928-314     0.5230346-314
     0.5230346-314     0.5234629-314
     0.5234629-314     0.5224791-314
     0.5224791-314     0.5245189-314
     0.5245189-314     0.5219948-314
     0.5219948-314     0.5182254-314
     0.5182254-314     0.5261604-314
     0.5261604-314     0.5116653-314
     0.5116653-314     0.5185698-314
     0.5185698-314     0.5252324-314
     0.5252324-314     0.5187657-314
     0.5187657-314     0.5260560-314
     0.5260560-314     0.5236984-314
     0.5236984-314     0.5223322-314
     0.5223322-314     0.5251341-314
     0.5251341-314     0.5239454-314
     0.5239454-314     0.4990926-314
     0.4990926-314     0.5210096-314
     0.5210096-314     0.5225749-314
     0.5225749-314     0.5045358-314
     0.5045358-314     0.4959312-314
     0.4959312-314     0.5240094-314
     0.5240094-314     0.5258920-314
     0.5258920-314     0.5220163-314
     0.5220163-314     0.5239330-314
     0.5239330-314     0.5120416-314
     0.5120416-314     0.5180271-314
     0.5180271-314     0.5223511-314
     0.5223511-314     0.5209493-314
     0.5209493-314     0.5225595-314
     0.5225595-314     0.5241813-314
     0.5241813-314     0.5174212-314
     0.5174212-314     0.5206738-314
     0.5206738-314     0.5234480-314
     0.5234480-314     0.5194119-314
     0.5194119-314     0.5179821-314
     0.5179821-314     0.5236648-314
     0.5236648-314     0.5154085-314
     0.5154085-314     0.5224656-314
     0.5224656-314     0.5192727-314
     0.5192727-314     0.5146603-314
     0.5146603-314     0.5260259-314
     0.5260259-314     0.5246512-314
     0.5246512-314     0.5208805-314
     0.5208805-314     0.5017335-314
     0.5017335-314     0.5193795-314
     0.5193795-314     0.5144081-314
     0.5144081-314     0.5228521-314
     0.5228521-314     0.5061370-314
     0.5061370-314     0.5223350-314
     0.5223350-314     0.5224055-314
     0.5224055-314     0.5237314-314
     0.5237314-314     0.5139704-314
     0.5139704-314     0.5245405-314
     0.5245405-314     0.5188363-314
     0.5188363-314     0.4995463-314
     0.4995463-314     0.5222372-314
     0.5222372-314     0.5199038-314
     0.5199038-314     0.5244904-314
     0.5244904-314     0.5142346-314
     0.5142346-314     0.5166852-314
     0.5166852-314     0.5176657-314
     0.5176657-314     0.5241421-314
     0.5241421-314     0.5227530-314
     0.5227530-314     0.5243107-314
     0.5243107-314     0.5221403-314
     0.5221403-314     0.5198099-314
     0.5198099-314     0.5180668-314
     0.5180668-314     0.5184959-314
     0.5184959-314     0.5240419-314
     0.5240419-314     0.5259608-314
     0.5259608-314     0.5243110-314
     0.5243110-314     0.5203284-314
     0.5203284-314     0.5238228-314
     0.5238228-314     0.5219577-314
     0.5219577-314     0.5243881-314
     0.5243881-314     0.5232740-314
     0.5232740-314     0.5198181-314
     0.5198181-314     0.5237674-314
     0.5237674-314     0.5182166-314
     0.5182166-314     0.5171195-314
     0.5171195-314     0.5244689-314
     0.5244689-314     0.5197588-314
     0.5197588-314     0.5217171-314
     0.5217171-314     0.5223107-314
     0.5223107-314     0.5230702-314
     0.5230702-314     0.5079976-314
     0.5079976-314     0.5215947-314
     0.5215947-314     0.5189129-314
     0.5189129-314     0.5186705-314
     0.5186705-314     0.5197788-314
     0.5197788-314     0.5262194-314
     0.5262194-314     0.5261136-314
     0.5261136-314     0.5258007-314
     0.5258007-314     0.5198316-314
     0.5198316-314     0.5256022-314
     0.5256022-314     0.5112970-314
     0.5112970-314     0.5236500-314
     0.5236500-314     0.5026210-314
     0.5026210-314     0.5207708-314
     0.5207708-314     0.5253804-314
     0.5253804-314     0.5257384-314
     0.5257384-314     0.5235596-314
     0.5235596-314     0.5239586-314
     0.5239586-314     0.5249652-314
     0.5249652-314     0.5249279-314
     0.5249279-314     0.5233201-314
     0.5233201-314     0.5262785-314
     0.5262785-314     0.5158565-314
     0.5158565-314     0.5248753-314
     0.5248753-314     0.5260363-314
     0.5260363-314     0.5254500-314
     0.5254500-314     0.5152940-314
     0.5152940-314     0.5131162-314
     0.5131162-314     0.5224670-314
     0.5224670-314     0.5232984-314
     0.5232984-314     0.5185800-314
     0.5185800-314     0.5222283-314
     0.5222283-314     0.5112134-314
     0.5112134-314     0.5235467-314
     0.5235467-314     0.5249796-314
     0.5249796-314     0.5248109-314
     0.5248109-314     0.5116232-314
     0.5116232-314     0.5210478-314
     0.5210478-314     0.5234817-314
     0.5234817-314     0.5256088-314
     0.5256088-314     0.5186178-314
     0.5186178-314     0.5233750-314
     0.5233750-314     0.5234352-314
     0.5234352-314     0.5041917-314
     0.5041917-314     0.5207596-314
     0.5207596-314     0.5121313-314
     0.5121313-314     0.5233379-314
     0.5233379-314     0.5255736-314
     0.5255736-314     0.5222509-314
     0.5222509-314     0.4971740-314
     0.4971740-314     0.5231730-314
     0.5231730-314     0.5261913-314
     0.5261913-314     0.5237409-314
     0.5237409-314     0.5194957-314
     0.5194957-314     0.5204986-314
     0.5204986-314     0.5227366-314
     0.5227366-314     0.5196729-314
     0.5196729-314     0.5229872-314
     0.5229872-314     0.5182782-314
     0.5182782-314     0.5247667-314
     0.5247667-314     0.5175157-314
     0.5175157-314     0.5145859-314
     0.5145859-314     0.5121018-314
     0.5121018-314     0.5255513-314
     0.5255513-314     0.5239160-314
     0.5239160-314     0.5256225-314
     0.5256225-314     0.5141528-314
     0.5141528-314     0.5242193-314
     0.5242193-314     0.5183106-314
     0.5183106-314     0.5104402-314
     0.5104402-314     0.5178829-314
     0.5178829-314     0.5094409-314
     0.5094409-314     0.5129584-314
     0.5129584-314     0.5137613-314
     0.5137613-314     0.5219111-314
     0.5219111-314     0.5243161-314
     0.5243161-314     0.5187656-314
     0.5187656-314     0.5205542-314
     0.5205542-314     0.5172237-314
     0.5172237-314     0.5254650-314
     0.5254650-314     0.5242314-314
